DataElement_ID,DataElement_Name,OptionSet_ID,Option_ID,OptionName
fOnOoUvD03d, DSTX-77: Assessed for Malnutrition at the last visit during the reporting quarter?,Szwh67Z3IzW,JFhaoA8pdlW,Yes
fOnOoUvD03d, DSTX-77: Assessed for Malnutrition at the last visit during the reporting quarter?,Szwh67Z3IzW,tOv7nmJBVot,No
fJUy96o8akn,020-100-MD02a2. Report chain of events 'due to' in order-Cause of death-URI,tJLpxB3nPGA,FXYuF0uS0J9,DM
fJUy96o8akn,020-100-MD02a2. Report chain of events 'due to' in order-Cause of death-URI,tJLpxB3nPGA,nMKsCGBXVqF,MI
fJUy96o8akn,020-100-MD02a2. Report chain of events 'due to' in order-Cause of death-URI,tJLpxB3nPGA,LRflDXZbuRq,OA
fJUy96o8akn,020-100-MD02a2. Report chain of events 'due to' in order-Cause of death-URI,tJLpxB3nPGA,ZpP0I2R14I2,TB
fJUy96o8akn,020-100-MD02a2. Report chain of events 'due to' in order-Cause of death-URI,tJLpxB3nPGA,ERtmJTrMv83,ARF
fJUy96o8akn,020-100-MD02a2. Report chain of events 'due to' in order-Cause of death-URI,tJLpxB3nPGA,J2r5ppACISj,CAP
fJUy96o8akn,020-100-MD02a2. Report chain of events 'due to' in order-Cause of death-URI,tJLpxB3nPGA,A7FbvGZLnWg,CCF
fJUy96o8akn,020-100-MD02a2. Report chain of events 'due to' in order-Cause of death-URI,tJLpxB3nPGA,uzvnEUjUL92,CHF
fJUy96o8akn,020-100-MD02a2. Report chain of events 'due to' in order-Cause of death-URI,tJLpxB3nPGA,vJ9HCaIJLc8,CUT
fJUy96o8akn,020-100-MD02a2. Report chain of events 'due to' in order-Cause of death-URI,tJLpxB3nPGA,rijUZPUjDgx,CVA
fJUy96o8akn,020-100-MD02a2. Report chain of events 'due to' in order-Cause of death-URI,tJLpxB3nPGA,hSmdEqm2BQU,CVE
fJUy96o8akn,020-100-MD02a2. Report chain of events 'due to' in order-Cause of death-URI,tJLpxB3nPGA,fnIDUdMrUKi,DVT
fJUy96o8akn,020-100-MD02a2. Report chain of events 'due to' in order-Cause of death-URI,tJLpxB3nPGA,PlUccUwjlOX,FIT
fJUy96o8akn,020-100-MD02a2. Report chain of events 'due to' in order-Cause of death-URI,tJLpxB3nPGA,adJKclAjoOr,FLU
fJUy96o8akn,020-100-MD02a2. Report chain of events 'due to' in order-Cause of death-URI,tJLpxB3nPGA,VanPER7OMqP,HIV
fJUy96o8akn,020-100-MD02a2. Report chain of events 'due to' in order-Cause of death-URI,tJLpxB3nPGA,GSj7K0TbLpY,HPT
fJUy96o8akn,020-100-MD02a2. Report chain of events 'due to' in order-Cause of death-URI,tJLpxB3nPGA,Iwr0XprXc0L,HTN
fJUy96o8akn,020-100-MD02a2. Report chain of events 'due to' in order-Cause of death-URI,tJLpxB3nPGA,Eb5uBM9jDEi,IHD
fJUy96o8akn,020-100-MD02a2. Report chain of events 'due to' in order-Cause of death-URI,tJLpxB3nPGA,xPEa0LK3JOb,LBW
fJUy96o8akn,020-100-MD02a2. Report chain of events 'due to' in order-Cause of death-URI,tJLpxB3nPGA,pfhZ52DTfyI,M I
fJUy96o8akn,020-100-MD02a2. Report chain of events 'due to' in order-Cause of death-URI,tJLpxB3nPGA,kqNoJ5XJ9t6,MVA
fJUy96o8akn,020-100-MD02a2. Report chain of events 'due to' in order-Cause of death-URI,tJLpxB3nPGA,MJXbiAne5Qi,PCP
fJUy96o8akn,020-100-MD02a2. Report chain of events 'due to' in order-Cause of death-URI,tJLpxB3nPGA,rSNBc0yNxlj,PTB
fJUy96o8akn,020-100-MD02a2. Report chain of events 'due to' in order-Cause of death-URI,tJLpxB3nPGA,XyIkvxOY4CY,PUD
fJUy96o8akn,020-100-MD02a2. Report chain of events 'due to' in order-Cause of death-URI,tJLpxB3nPGA,gSpcikHF5ot,PVD
fJUy96o8akn,020-100-MD02a2. Report chain of events 'due to' in order-Cause of death-URI,tJLpxB3nPGA,XCd096b8IAi,RDS
fJUy96o8akn,020-100-MD02a2. Report chain of events 'due to' in order-Cause of death-URI,tJLpxB3nPGA,my8cmhdrpew,RTI
fJUy96o8akn,020-100-MD02a2. Report chain of events 'due to' in order-Cause of death-URI,tJLpxB3nPGA,aBV4ByFc5v9,RVD
fJUy96o8akn,020-100-MD02a2. Report chain of events 'due to' in order-Cause of death-URI,tJLpxB3nPGA,gbPyviTR69c,TIC
fJUy96o8akn,020-100-MD02a2. Report chain of events 'due to' in order-Cause of death-URI,tJLpxB3nPGA,r8YcfE4R7Dc,AIDS
fJUy96o8akn,020-100-MD02a2. Report chain of events 'due to' in order-Cause of death-URI,tJLpxB3nPGA,esL3vThLNeW,Anus
fJUy96o8akn,020-100-MD02a2. Report chain of events 'due to' in order-Cause of death-URI,tJLpxB3nPGA,vt3xRsbV0Fr,Ards
